cntry,eneffap,rdcenr,cflsenr,elgcoal,elgngas,elghydr,elgnuc,elgsun,elgwind,elgbio,wrpwrct,wrenexp,wrdpimp,wrdpfos,wrntdis,wrinspw,wrtcfl,wrtratc,clmchng,clmthgt1,clmthgt2,ccnthum,ccrdprs,wrclmch,ccgdbd,lkredcc,lklmten,gvsrdcc,ownrdcc,inctxff,sbsrnen,banhhap,
AT,9,4,8,4,4,1,5,1,1,1,2,2,2,3,2,3,3,3,1,6,5,4,5,3,0,8,0,0,6,2,2,2,
AT,7,4,6,3,3,2,4,55,1,2,1,3,2,2,3,2,3,3,2,6,2,3,5,3,3,6,3,6,3,2,1,3,
AT,10,5,2,3,4,3,5,1,3,1,2,4,3,3,3,3,1,4,1,6,5,5,8,5,0,5,5,3,6,3,1,2,
AT,7,4,8,2,3,1,5,1,1,2,3,2,3,2,3,1,1,1,1,6,3,3,2,3,3,8,7,5,8,5,1,2,
AT,10,4,8,5,3,2,5,1,1,1,1,1,2,2,2,2,2,1,1,6,5,5,10,5,0,9,8,8,9,1,1,1,
AT,10,4,5,3,3,2,5,2,3,3,2,3,2,2,2,2,2,3,2,6,4,3,3,3,2,4,5,1,2,1,1,1,
AT,3,2,2,2,1,3,2,2,2,3,2,3,4,2,1,1,1,3,2,6,2,2,6,2,6,5,7,7,8,2,1,1,
AT,6,2,88,4,2,2,5,1,3,3,2,3,3,4,3,3,3,8,8,6,2,2,1,2,88,2,1,88,0,8,2,2,
AT,9,4,8,4,4,3,4,3,3,3,3,4,3,4,3,3,2,1,2,6,2,4,6,3,4,7,8,5,6,2,2,3,
AT,10,3,5,4,3,1,5,1,1,3,4,4,3,2,2,2,3,3,1,6,3,5,7,4,0,8,3,2,7,5,2,2,
AT,8,4,8,5,4,1,5,2,2,3,1,2,3,3,1,1,1,2,3,6,3,5,5,3,8,7,7,1,3,2,1,2,
AT,10,4,2,5,4,2,5,2,2,4,2,3,2,3,2,1,2,2,2,6,3,3,5,3,5,2,1,2,0,3,2,4,
AT,5,2,2,88,88,88,88,1,88,88,2,3,3,3,1,1,1,1,4,3,6,66,66,6,66,66,66,66,66,4,2,3,
AT,7,4,5,4,4,1,5,1,1,2,2,4,3,2,3,1,2,2,2,6,2,4,4,2,5,6,5,2,5,4,1,3,
AT,10,5,5,4,4,1,5,1,2,1,2,2,3,2,3,1,3,2,2,6,3,4,7,3,4,2,3,2,3,3,2,3,
AT,3,1,0,3,4,2,5,1,1,4,1,1,1,1,1,1,1,1,1,6,1,3,5,2,5,3,2,4,4,5,1,3,
AT,10,6,8,4,3,2,5,2,2,2,1,2,3,3,2,2,2,2,1,6,4,4,9,4,1,8,2,2,4,2,2,2,
AT,9,3,5,3,3,1,5,4,5,4,1,3,3,3,2,2,2,1,3,6,2,55,66,6,66,66,66,66,66,5,4,4,
AT,9,4,7,4,4,1,5,1,1,1,3,4,3,3,2,2,2,3,2,6,3,4,6,3,3,6,3,4,5,4,1,1,
AT,4,3,9,5,2,3,5,1,2,4,2,3,3,2,2,1,3,2,2,6,2,4,7,2,4,6,1,6,7,4,2,2,
AT,10,3,7,4,4,2,2,2,2,2,2,3,2,2,3,2,3,3,1,6,3,5,6,3,5,7,7,6,7,2,2,1,
AT,5,3,7,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,2,6,3,2,5,3,3,4,3,2,2,2,2,2,
AT,8,2,5,5,3,1,5,1,1,3,1,2,2,1,2,2,2,2,2,6,3,4,3,3,2,6,1,2,4,4,2,3,
AT,7,4,6,2,3,3,5,1,2,3,2,3,2,3,3,2,1,2,1,6,4,4,8,5,3,7,5,5,4,2,2,3,
AT,7,3,7,5,5,1,5,1,1,3,2,1,1,1,3,1,1,1,2,6,1,4,7,3,3,7,5,6,7,4,2,3,
AT,7,5,7,5,3,1,5,1,1,88,3,3,4,4,3,3,3,4,1,6,3,3,6,3,5,4,3,88,5,3,1,4,
AT,8,5,5,88,88,2,5,2,1,2,3,5,5,4,4,4,4,4,8,6,3,4,1,4,2,4,0,0,8,4,1,2,
AT,10,6,9,4,4,2,5,1,1,2,2,3,3,3,4,2,2,2,2,6,3,4,9,3,2,4,2,5,5,2,2,2,
AT,5,2,5,5,4,1,5,2,3,3,3,2,2,4,2,1,2,3,2,6,3,4,5,3,3,3,5,7,4,3,1,2,
AT,10,5,4,5,5,2,5,1,1,1,2,3,3,4,2,2,2,3,1,6,4,4,9,3,5,6,4,4,8,4,1,4,
AT,5,4,5,3,4,3,5,1,2,2,2,3,8,2,3,8,3,3,1,6,3,3,7,3,4,5,4,4,5,4,1,1,
AT,5,3,2,5,5,1,4,2,2,2,1,1,1,1,1,1,1,2,2,6,2,2,0,1,5,6,6,6,0,5,2,2,
AT,7,4,2,5,3,1,5,5,4,4,3,3,4,2,4,4,4,4,2,6,3,2,0,2,88,2,2,2,3,5,4,2,
AT,8,5,7,3,5,1,5,5,1,5,1,1,1,1,1,1,1,1,2,6,1,5,8,1,8,3,2,6,8,2,2,2,
AT,7,3,7,5,5,1,5,2,1,3,2,3,2,2,2,2,2,2,1,6,3,4,4,4,1,7,7,3,5,3,2,1,
AT,9,4,9,5,4,1,5,2,2,3,2,3,3,3,2,2,2,2,1,6,4,4,8,4,1,9,8,7,8,4,1,1,
AT,10,5,9,4,4,2,5,1,1,3,2,3,1,3,2,2,2,3,2,6,5,3,10,4,3,6,8,3,8,2,1,1,
AT,10,6,0,4,3,1,5,1,1,1,2,5,5,4,4,4,4,5,1,6,4,5,10,4,8,6,6,3,4,5,1,1,
AT,0,4,3,5,4,2,5,2,2,4,2,3,3,3,2,2,2,1,1,6,5,4,2,4,0,8,1,1,2,3,1,3,
AT,5,2,2,4,4,2,5,2,2,2,2,3,1,2,2,2,2,2,1,6,3,5,0,2,4,3,3,2,5,5,3,3,
AT,9,3,7,3,4,3,2,2,2,2,2,3,2,2,4,3,3,3,1,6,3,4,5,4,3,5,7,6,6,2,1,1,
AT,5,3,10,5,4,1,5,1,1,1,1,2,1,3,3,3,4,4,1,6,5,3,8,4,1,1,7,8,9,5,2,5,
AT,10,5,7,5,4,1,5,1,1,2,2,4,4,3,3,2,3,3,1,6,4,4,7,4,3,8,2,2,6,3,1,1,
AT,9,5,8,3,4,2,5,2,2,2,2,4,5,5,2,2,2,1,1,6,5,1,0,1,10,0,0,0,0,4,1,2,
AT,9,5,8,5,3,1,5,2,2,2,1,1,1,1,2,1,8,3,1,6,4,4,0,3,4,88,88,88,7,4,2,2,
AT,9,5,3,5,4,1,5,2,1,4,3,3,3,2,3,2,3,5,2,6,3,3,6,3,4,4,4,5,2,3,1,2,
AT,10,4,7,5,4,2,5,2,2,3,2,3,2,3,3,3,3,2,1,6,3,4,6,3,3,6,2,2,1,2,1,2,
AT,8,5,9,5,3,2,2,1,3,3,3,2,4,4,2,2,3,4,3,6,3,4,9,4,9,8,7,7,7,2,2,3,
AT,7,4,5,5,5,1,5,2,2,2,2,2,2,2,2,1,2,2,1,6,3,4,2,2,4,6,7,6,2,3,2,2,
AT,7,3,7,1,5,1,5,1,1,2,1,1,1,1,4,1,1,1,1,6,1,5,7,2,2,5,5,4,6,3,2,2,
AT,10,3,7,4,4,1,5,1,1,4,1,1,1,2,3,1,1,2,2,6,1,4,5,3,4,6,5,5,5,3,3,2,
AT,10,3,7,5,3,2,5,1,1,1,3,3,3,3,3,2,2,2,1,6,3,4,7,3,4,6,5,4,7,4,2,1,
AT,10,6,4,5,5,1,5,1,1,4,1,3,3,2,2,1,1,2,2,6,3,4,7,3,3,6,8,6,6,2,1,2,
AT,5,3,5,3,3,1,5,4,4,5,1,2,2,1,2,2,3,2,2,6,1,3,5,2,4,4,2,2,0,5,5,5,
AT,10,4,6,5,5,2,5,1,2,3,3,2,3,3,3,2,4,3,1,6,4,3,7,3,2,6,6,5,6,2,1,1,
AT,9,5,5,5,5,2,5,1,2,2,1,2,3,3,3,2,2,2,2,6,4,4,8,3,2,4,5,4,10,2,1,3,
AT,4,5,7,3,3,3,5,1,2,1,1,5,2,2,4,2,3,5,1,6,3,3,10,4,0,3,4,3,6,4,2,1,
AT,8,4,8,4,4,2,5,1,3,1,3,4,4,3,3,3,2,2,1,6,3,4,4,3,3,7,2,4,4,2,1,2,
AT,8,5,5,4,4,2,5,2,2,3,3,3,3,3,3,3,3,3,1,6,3,3,7,3,2,7,6,5,5,4,2,2,
AT,0,1,6,5,5,1,5,1,1,1,2,2,2,2,1,1,1,1,1,6,2,3,0,1,88,2,1,2,1,5,1,5,
AT,8,4,8,3,3,1,5,1,1,1,3,3,3,4,3,3,3,3,1,6,3,4,7,4,3,4,4,4,6,3,1,2,
AT,5,5,6,5,4,3,5,1,1,3,3,5,3,4,2,1,3,3,1,6,4,2,2,1,7,0,0,0,0,5,1,4,
AT,5,3,88,5,3,1,5,2,3,88,1,2,8,8,1,2,2,2,1,6,1,4,5,3,5,5,2,3,5,4,1,4,
