"","Tijdstempel","Student","Postcode","Geslacht","Leeftijd","Merkbekendheid","Reclameactiviteiten","Webshop","Social.media","Koopfactoren","Online.vs.fysiek","Informatietevredenheid","Koopbereidheid","Aanbevelen","Online.niet.aanwezig","Menselijk.contact","Persoonlijke.aandacht","Verbinding","Menselijke.betrokkenheid","Non.verbale.comm","Houding.verkopers","Beeld.verkopers","Community","Informatie.gebruikers","Bedrijf"
"221","25/04/2018 19:53:28","Ja",7054,"Vrouw","18","Ja","Maandelijks","Ja","Ja","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",3,3,3,3,3,3,3,3,3,"Ikea"
"222","25/04/2018 20:32:41","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ikea"
"223","25/04/2018 22:28:09","Ja",5961,"Man","23","Ja","Wekelijks","Ja","Ja","Prijs, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Nee",3,4,2,4,5,5,1,2,4,"Ikea"
"224","25/04/2018 23:00:47","Ja",6576,"Man","19","Ja","Wekelijks","Ja","Ja","Prijs, Reclame, Plaats, Personeel, Kwaliteit","Fysieke winkel",3,"Ja","Ja","Ja",2,1,2,2,5,2,1,1,1,"Ikea"
"225","26/04/2018 08:22:26","Ja",6573,"Vrouw","20","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,4,2,4,4,3,2,4,3,"Ikea"
"226","26/04/2018 08:33:40","Ja",5446,"Neutraal","26 en ouder","Nee","Dagelijks","Ja","Nee","Personeel","Fysieke winkel",2,"Nee","Ja","Nee",3,5,1,5,1,1,1,1,4,"Ikea"
"227","26/04/2018 09:44:50","Ja",7039,"Vrouw","19","Ja","Wekelijks","Nee","Ja","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",4,3,3,3,3,3,3,3,2,"Ikea"
"228","26/04/2018 09:47:44","Ja",6542,"Vrouw","18","Ja","Dagelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",2,2,2,3,3,2,3,3,3,"Ikea"
"229","26/04/2018 09:50:00","Ja",5371,"Vrouw","21","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Nee",3,4,3,4,4,4,2,4,4,"Ikea"
"230","26/04/2018 09:55:03","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ikea"
"231","26/04/2018 09:59:11","Ja",6566,"Man","18","Ja","Wekelijks","Ja","Ja","Prijs","Online",3,"Nee","Ja","Ja",4,4,3,3,3,3,3,3,3,"Ikea"
"232","26/04/2018 10:02:21","Ja",6566,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,4,4,4,4,3,3,3,4,"Ikea"
"233","26/04/2018 10:06:30","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ikea"
"234","26/04/2018 10:06:46","Ja",5371,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Personeel, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,3,3,3,3,3,3,3,3,"Ikea"
"235","26/04/2018 10:19:06","Ja",6711,"Vrouw","18","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Fysieke winkel",3,"Ja","Ja","Ja",4,4,2,4,4,3,2,3,3,"Ikea"
"236","26/04/2018 10:21:19","Ja",6718,"Vrouw","18","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Ja",4,3,3,3,5,2,3,4,2,"Ikea"
"237","26/04/2018 10:32:55","Ja",6521,"Vrouw","19","Ja","Dagelijks","Ja","Ja","Prijs, Reclame, Plaats, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,5,4,4,4,5,4,3,4,"Ikea"
"238","26/04/2018 10:49:06","Ja",6591,"Man","19","Ja","Wekelijks","Ja","Ja","Prijs, Plaats, Personeel, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",5,4,5,3,3,2,2,4,3,"Ikea"
"239","26/04/2018 10:55:04","Ja",6578,"Vrouw","18","Ja","Nooit","Nee","Nee","Prijs, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,2,2,2,3,3,2,2,3,"Ikea"
"240","26/04/2018 11:07:24","Ja",6543,"Vrouw","20","Ja","Wekelijks","Ja","Nee","Prijs, Reclame, Kwaliteit","Fysieke winkel",5,"Ja","Ja","Nee",4,5,5,4,4,3,3,5,5,"Ikea"
"241","26/04/2018 11:17:08","Ja",3583,"Vrouw","22","Ja","Maandelijks","Ja","Ja","Prijs, Plaats, Kwaliteit","Fysieke winkel",4,"Nee","Ja","Ja",3,3,3,3,2,2,2,2,2,"Ikea"
"242","26/04/2018 11:19:04","Ja",6521,"Man","23","Ja","Maandelijks","Ja","Nee","Prijs, Kwaliteit","Online",4,"Ja","Ja","Nee",1,1,1,1,2,2,1,2,1,"Ikea"
"243","26/04/2018 12:00:44","Ja",6566,"Vrouw","19","Ja","Maandelijks","Ja","Nee","Prijs, Plaats, Personeel, Kwaliteit","Fysieke winkel",4,"Ja","Ja","Ja",3,3,3,3,3,3,3,3,3,"Ikea"
"244","26/04/2018 12:07:45","Ja",5207,"Man","18","Nee","Dagelijks","Nee","Ja","Plaats","Fysieke winkel",1,"Ja","Nee","Nee",4,2,1,4,5,1,4,2,3,"Ikea"
