"","Tijdstempel","Student","Geslacht","Leeftijd","Woonsituatie","Opleiding","Postcode","Waardering","Menselijk","Aangenaam","Persoonlijk","Non.Verbale.Comm","Betrokkenheid","Recensies","Populariteit","Bedrijf"
"99","9-5-2018 10:26:26","Ja","Vrouw","20","Thuiswonend","MBO",7306,6,7,7,5,7,5,6,7,"ZARA"
"100","9-5-2018 10:27:13","Ja","Man","19","Thuiswonend","HAVO",7334,7,6,6,7,7,7,6,8,"ZARA"
"101","2-5-2018 19:44:49","Ja","Man","20","Thuiswonend","VWO",6843,5,5,5,6,7,5,7,8,"Rituals"
"102","2-5-2018 19:45:44","Ja","Vrouw","17 of jonger","Thuiswonend","HAVO",7327,7,8,6,6,6,8,4,7,"Rituals"
"103","2-5-2018 19:48:22","Ja","Man","18","Thuiswonend","HAVO",7331,10,8,9,10,9,9,9,9,"Rituals"
"104","2-5-2018 19:48:50","Ja","Vrouw","19","Thuiswonend","MBO",7041,8,6,6,7,8,6,5,7,"Rituals"
"105","2-5-2018 19:53:14","Ja","Vrouw","18","Thuiswonend","HAVO",7327,8,8,8,9,8,6,6,7,"Rituals"
"106","2-5-2018 20:22:25","Ja","Man","23+","Uitwonend","MBO",7101,8,6,9,8,7,8,8,7,"Rituals"
"107","2-5-2018 20:50:43","Ja","Vrouw","19","Thuiswonend","VWO",6971,8,6,8,6,10,5,6,8,"Rituals"
"108","2-5-2018 21:06:00","Ja","Vrouw","19","Thuiswonend","MBO",7323,8,8,8,9,9,9,9,8,"Rituals"
"109","2-5-2018 21:42:19","Ja","Vrouw","17 of jonger","Thuiswonend","MBO",6961,8,1,7,5,6,6,6,5,"Rituals"
"110","2-5-2018 22:42:38","Ja","Vrouw","17 of jonger","Thuiswonend","HAVO",6961,8,7,8,7,8,6,6,6,"Rituals"
"111","9-5-2018 13:41:12","Ja","Vrouw","20","Thuiswonend","MBO",7031,7,7,7,7,7,7,7,7,"Rituals"
"112","9-5-2018 13:43:36","Ja","Man","18",NA,"HAVO",3911,10,10,10,10,10,10,6,7,"Rituals"
"113","9-5-2018 13:44:11","Ja","Vrouw","20","Uitwonend","MBO",10,6,3,10,6,7,6,4,8,"Rituals"
"114","9-5-2018 13:44:18","Ja","Man","22","Uitwonend","HAVO",9726,5,5,5,5,5,5,5,5,"Rituals"
"115","9-5-2018 13:44:30","Ja","Man","23+","Uitwonend","VWO",6543,7,7,7,6,7,7,7,5,"Rituals"
"116","9-5-2018 13:45:05","Ja","Man","21","Thuiswonend","HAVO",7104,7,7,7,7,7,7,6,7,"Rituals"
"117","9-5-2018 13:45:06","Ja","Vrouw","20","Thuiswonend","HAVO",7102,7,7,8,7,8,6,5,7,"Rituals"
"118","9-5-2018 13:46:31","Ja","Man","20","Thuiswonend","VWO",6843,8,7,8,6,8,7,9,8,"Rituals"
"119","9-5-2018 13:47:07","Ja","Man","20","Thuiswonend","HAVO",7101,10,9,9,8,8,8,10,8,"Rituals"
"120","9-5-2018 13:47:23","Ja","Man","20","Thuiswonend","HAVO",6852,7,8,6,6,8,7,8,7,"Rituals"
"121","9-5-2018 13:48:06","Nee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rituals"
