"","Tijdstempel","Student","Verzenden","Geslacht","Leeftijd","Device","Zoektijd.Verwacht","Zoektijd.Bereid","Begintijd","Eindtijd","Url","Prijs","Beginpunt","Tevredenheid","Bedrijf","Zoektijd"
"242","7-5-2018 16:25:06","Ja",NA,"Vrouw","26","Laptop","0-2 minuten","0-2 minuten",09:00:00,09:03:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","79.95","Zoekmachines",2,"G-Star",180
"243","7-5-2018 16:25:16","Nee","Verzenden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G-Star",NA
"244","7-5-2018 16:26:57","Ja",NA,"Vrouw","Jonger dan 17","Mobiele telefoon","0-2 minuten","0-2 minuten",20:55:00,20:59:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","80","Website van het merk",1,"G-Star",240
"245","7-5-2018 16:27:56","Ja",NA,"Man","25","Tablet","3-5 minuten","3-5 minuten",18:44:00,18:46:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","80","Zoekmachines",4,"G-Star",120
"246","7-5-2018 16:29:51","Ja",NA,"Man","Jonger dan 17","Laptop","6-9 minuten","6-9 minuten",12:12:00,12:18:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","79.95","Website van het merk",3,"G-Star",360
"247","7-5-2018 16:30:04","Nee","Verzenden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G-Star",NA
"248","7-5-2018 16:30:17","Nee","Verzenden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G-Star",NA
"249","7-5-2018 16:32:02","Ja",NA,"Man","20","pc","0-2 minuten","0-2 minuten",06:55:00,07:00:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","80","Zoekmachines",2,"G-Star",300
"250","7-5-2018 16:32:47","Ja",NA,"Man","19","Mobiele telefoon","3-5 minuten","0-2 minuten",23:11:00,23:13:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","80","Zoekmachines",4,"G-Star",120
"251","7-5-2018 16:33:40","Ja",NA,"Man","20","Laptop","0-2 minuten","0-2 minuten",19:22:00,19:23:00,"https://www.g-star.com/nl_nl/shop/heren/sweaters/d07857-k007-6484?bgid=16196-AGI-32191522240-ASI-279611085509-853748925&gclid=CjwKCAjw8r_XBRBkEiwAjWGLlGWmF8poCdX0XEmpavjOigkZeYGG-MmaUOXYF9ykvuy_VRn6bnv7PhoCSvcQAvD_BwE","79.95","Zoekmachines",4,"G-Star",60
